IMG,TROOP,STATION,DATE,"LOCATION","e_relation","e_cross_street",Town,county,VEHICLES STOPPED,FAULTY EQUIPMENT,W/O DRIVERS LICENSE,W/O REG CARD,TRAFFIC VIOLATION,WARNING NOTICES,verbal warnings,CITATIONS,CITATIONS/SECTION,1115,1301,1301a,1311,1332,1334,1336,1371,1372,1501,1501,1502,1504a,1505,1510,1511,1511a,1515,"1543",1543A,1543b,1571,1572,1574,1575,1781,1786,3102,3111,3112,3309,3310,3311,3314,3321,3322,3323,3332,3334,3352,3361,3362,3525,3709,3714,3715,3718,3736,3746,3802,3809,4107,4301,4303,4307,4523,4524,4525,4533,4536,4581,4581A,4582,4701,4702,4703,4703A,4706,4729,4730,4882,4903,4905,4925,4942,6308,6502,7101,7711,8306,NOTES
2876,J,Lancaster 4210,2/5/2011,n/a,,,,,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2877,J,Lancaster 4210,2/17/2011,SR272,and,South Little Britain Road,,Lancaster County,28,0,1,0,1,0,2,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2878,J,Lancaster 4210,3/18/2011,SR272,and,South Little Britain Road,,Lancaster County,23,0,1,2,0,0,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
2879,J,Lancaster 4210,4/11/2011,SR272,and,South Little Britain Road,,Lancaster County,20,0,1,3,0,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2880,J,Lancaster 4210,5/1/2011,N/A,,,,,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2881,J,Lancaster 4210,6/22/2011,SR272,and,South Little Britain Road,,Lancaster County,32,0,1,2,0,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2882,J,Lancaster 4210,7/8/2011,SR372 ,and ,Groff Ave,Quarryville Borough,,28,0,3,1,0,3,5,4,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
2883,J,Lancaster 4210,8/12/2011,SR272,and,South Little Britain Road,,Lancaster County,70,0,1,1,6,8,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2884,J,Lancaster 4210,9/30/2011,SR373,and,N Groff Ave,Quarryville Borough,,28,3,0,0,0,3,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2885,J,Lancaster 4210,10/1/2011,n/a,,,,,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2886,J,Lancaster 4210,11/30/2011,n/a,,,,,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2887,J,Lancaster 4210,12/31/2011,n/a,,,,,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2888,J,Lancaster 4210,1/6/2012,SR772,just south of ,Intercourse,?,,48,0,0,0,0,19,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
2889,J,Lancaster 4210,1/28/2012, SR 372,and,Groffdale Road,Eden Township,,47,0,2,0,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
2890,J,Lancaster 4210,2/18/2012,SR272,and,South Little Britain Road,,Lancaster County,74,0,2,0,0,0,,3,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2891,J,Lancaster 4210,3/24/2012,n/a,,,,,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2892,J,Lancaster 4210,5/5/2012,840 Lancaster Pike,,,East Drumore Township,,17,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2893,J,Lancaster 4210,5/31/2012,372,and ,Groffdale Road,Eden Township,,40,0,1,0,0,6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2894,J,Lancaster 4210,6/30/2012,n/a,,,,,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2895,J,Lancaster 4210,7/28/2012,n/a,,,,,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2896,J,Lancaster 4210,8/25/2012,SR272,and,South Little Britain Road,,Lancaster County,72,0,1,6,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""selected due to the site being a known problem area."""
2897,J,Lancaster 4210,9/20/2012,840 Lancaster Pike,,,East Drumore Township,,19,0,2,2,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2898,J,Lancaster 4210,11/3/2012,n/a,,,,,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2899,J,Lancaster 4210,11/24/2012,SR272,and,South Little Britain Road,,Lancaster County,34,0,0,5,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2900,J,Avondale 4220,2/17/2011,Baltimore Park,and,Lake Road,London Grove Township,Chester County,85,0,0,0,0,0,20,11,,,1,,,,,,,,2,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,2,,,,,,,,,,
2901,J,Avondale 4220,3/25/2011,baltimore Park,,Thompson Road,East Garden Township,,92,2,1,2,0,21,,4,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
2902,J,Avondale 4220,4/1/2011,baltimore park,and,Forge Road,Nottingham Township,,35,2,1,2,0,4,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2903,J,Avondale 4220,5/10/2011,State Road,and,Meadow Wood Lane,London Grove Township,Chester County,60,8,8,6,0,12,,11,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,
2904,J,Avondale 4220,5/28/2011,Baltimore Pike,and ,Lake Road,London Grove Township,Chester County,75,0,5,2,0,0,,9,,,1,,,,,,,,2,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,
2905,J,Avondale 4220,6/30/2011,SR 796 ,and,Colton Drive, Londonderry Township,Chester County,35,0,3,0,5,5,,6,,,1,,,,,,,,2,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2906,J,Avondale 4220,7/26/2011,Baltimore Park,and,Lake Road,London Grove Township,Chester County,100,0,0,0,0,40,,8,,,,,,,,,,,1,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
