pandas_id,ID,IMG,TROOP,STATION,DATE,location_original,street_number,street_name,cross_street,relation,distance_offset,cdp,landmark,village,borough,township,town,county,VEHICLES STOPPED,FAULTY EQUIPMENT,W/O DRIVERS LICENSE,W/O REG CARD,TRAFFIC VIOLATION,WARNING NOTICES,verbal warnings (where noted),CITATIONS,NOTES,std_address
1,2,2877.0,J,Lancaster 4210,2/17/2011,,,SR 272,South Little Britain Road,,,,,,,,,Lancaster ,28.0,0,1,0,1,0.0,2.0,3,,"sr 272 and south little britain road, lancaster county, Pennsylvania"
2,3,2878.0,J,Lancaster 4210,3/18/2011,,,SR 272,South Little Britain Road,,,,,,,,,Lancaster ,23.0,0,1,2,0,0.0,11.0,1,,"sr 272 and south little britain road, lancaster county, Pennsylvania"
3,4,2879.0,J,Lancaster 4210,4/11/2011,,,SR 272,South Little Britain Road,,,,,,,,,Lancaster ,20.0,0,1,3,0,0.0,6.0,0,,"sr 272 and south little britain road, lancaster county, Pennsylvania"
5,6,2881.0,J,Lancaster 4210,6/22/2011,,,SR 272,South Little Britain Road,,,,,,,,,Lancaster ,32.0,0,1,2,0,0.0,5.0,0,,"sr 272 and south little britain road, lancaster county, Pennsylvania"
6,7,2882.0,J,Lancaster 4210,7/8/2011,,,SR 372 ,Groff Ave,,,,,,Quarryville ,,,,28.0,0,3,1,0,3.0,5.0,4,,"sr 372 and groff ave, quarryville borough, Pennsylvania"
7,8,2883.0,J,Lancaster 4210,8/12/2011,,,Sr 272,South Little Britain Road,,,,,,,,,Lancaster ,70.0,0,1,1,6,8.0,,1,,"sr 272 and south little britain road, lancaster county, Pennsylvania"
8,9,2884.0,J,Lancaster 4210,9/30/2011,,,SR373,N Groff Ave,,,,,,Quarryville ,,,,28.0,3,0,0,0,3.0,,0,,"sr373 and n groff ave, quarryville borough, Pennsylvania"
12,13,2888.0,J,Lancaster 4210,1/6/2012,,,SR 772,,just south of ,,,Intercourse,,,,,,48.0,0,0,0,0,19.0,,1,,"sr 772, Pennsylvania"
13,14,2889.0,J,Lancaster 4210,1/28/2012,,,SR 372,Groffdale Road,,,,,,,Eden ,,,47.0,0,2,0,1,1.0,,1,,"sr 372 and groffdale road, eden township, Pennsylvania"
14,15,2890.0,J,Lancaster 4210,2/18/2012,,,SR 272,South Little Britain Road,,,,,,,,,Lancaster ,74.0,0,2,0,0,0.0,,3,,"sr 272 and south little britain road, lancaster county, Pennsylvania"
16,17,2892.0,J,Lancaster 4210,5/5/2012,,,,,,,,,,,East Drumore ,,,17.0,0,0,0,0,0.0,,0,,"east drumore township, Pennsylvania"
17,18,2893.0,J,Lancaster 4210,5/31/2012,,,SR 372,Groffdale Road,,,,,,,Eden ,,,40.0,0,1,0,0,6.0,,1,,"sr 372 and groffdale road, eden township, Pennsylvania"
20,21,2896.0,J,Lancaster 4210,8/25/2012,,,SR 272,South Little Britain Road,,,,,,,,,Lancaster ,72.0,0,1,6,0,0.0,,0,"""selected due to the site being a known problem area.""","sr 272 and south little britain road, lancaster county, Pennsylvania"
21,22,2897.0,J,Lancaster 4210,9/20/2012,,840,Lancaster Pike,,,,,,,,East Drumore ,,,19.0,0,2,2,0,0.0,,0,,"840 lancaster pike, east drumore township, Pennsylvania"
23,24,2899.0,J,Lancaster 4210,11/24/2012,,,SR 272,South Little Britain Road,,,,,,,,,Lancaster ,34.0,0,0,5,0,0.0,,0,,"sr 272 and south little britain road, lancaster county, Pennsylvania"
24,25,2900.0,J,Avondale 4220,2/17/2011,,,Baltimore Park,Lake Road,,,,,,,London Grove ,,Chester ,85.0,0,0,0,0,0.0,20.0,11,,"baltimore park and lake road, chester county, Pennsylvania"
25,26,2901.0,J,Avondale 4220,3/25/2011,,,baltimore Park,Thompson Road,,,,,,,East Garden ,,,92.0,2,1,2,0,21.0,,4,,"baltimore park and thompson road, east garden township, Pennsylvania"
26,27,2902.0,J,Avondale 4220,4/1/2011,,,baltimore park,Forge Road,,,,,,,Nottingham ,,,35.0,2,1,2,0,4.0,,1,,"baltimore park and forge road, nottingham township, Pennsylvania"
27,28,2903.0,J,Avondale 4220,5/10/2011,,,State Road,Meadow Wood Lane,,,,,,,London Grove ,,Chester ,60.0,8,8,6,0,12.0,,11,,"state road and meadow wood lane, chester county, Pennsylvania"
28,29,2904.0,J,Avondale 4220,5/28/2011,,,Baltimore Pike,Lake Road,,,,,,,London Grove ,,Chester ,75.0,0,5,2,0,0.0,,9,,"baltimore pike and lake road, chester county, Pennsylvania"
29,30,2905.0,J,Avondale 4220,6/30/2011,,,SR 796 ,Colton Drive,,,,,,, Londonderry ,,Chester ,35.0,0,3,0,5,5.0,,6,,"sr 796 and colton drive, chester county, Pennsylvania"
30,31,2906.0,J,Avondale 4220,7/26/2011,,,Baltimore Park,Lake Road,,,,,,,London Grove ,,Chester ,100.0,0,0,0,0,40.0,,8,,"baltimore park and lake road, chester county, Pennsylvania"
31,32,2907.0,J,Avondale 4220,8/5/2011,,,SR 796 ,Colton Drive,,,,,,, Londonderry ,,Chester ,50.0,6,3,6,2,25.0,,2,,"sr 796 and colton drive, chester county, Pennsylvania"
32,33,2908.0,J,Avondale 4220,9/30/2011,,,Baltimore Park,Lake Road,,,,,,,London Grove ,,Chester ,75.0,0,0,0,8,75.0,,8,,"baltimore park and lake road, chester county, Pennsylvania"
33,34,2909.0,J,Avondale 4220,10/26/2011,,,State Road,Meadow Wood Lane,,,,,,,London Grove ,,Chester ,60.0,0,2,11,0,10.0,,4,,"state road and meadow wood lane, chester county, Pennsylvania"
34,35,2910.0,J,Avondale 4220,11/17/2011,,,SR 796 ,Colton Drive,,,,,,, Londonderry ,,Chester ,100.0,2,3,2,8,34.0,,8,,"sr 796 and colton drive, chester county, Pennsylvania"
35,36,2911.0,J,Avondale 4220,1/28/2012,,,baltimore park,Forge Road,,,,,,,Nottingham ,,,55.0,0,2,2,0,4.0,,0,,"baltimore park and forge road, nottingham township, Pennsylvania"
36,37,2912.0,J,Avondale 4220,3/27/2012,,,Baltimore Park,Lake Road,,,,,,,London Grove ,,Chester ,43.0,0,5,0,0,7.0,,5,,"baltimore park and lake road, chester county, Pennsylvania"
37,38,2913.0,J,Avondale 4220,4/30/2012,,,Baltimore Park,Lake Road,,,,,,,London Grove ,,Chester ,51.0,0,2,0,0,5.0,,1,,"baltimore park and lake road, chester county, Pennsylvania"
38,39,2914.0,J,Avondale 4220,5/5/2012,,,Baltimore Park,Lake Road,,,,,,,London Grove ,,Chester ,60.0,1,4,8,5,17.0,,5,,"baltimore park and lake road, chester county, Pennsylvania"
39,40,2915.0,J,Avondale 4220,6/3/2012,,,Baltimore Park,Lake Road,,,,,,,London Grove ,,Chester ,85.0,4,4,5,10,48.0,,10,30 seatbelt warnings wereissued,"baltimore park and lake road, chester county, Pennsylvania"
40,41,2916.0,J,Avondale 4220,7/28/2012,,,Baltimore Park,Lake Road,,,,,,,London Grove ,,Chester ,43.0,2,5,7,8,16.0,,8,,"baltimore park and lake road, chester county, Pennsylvania"
41,42,2917.0,J,Avondale 4220,9/28/2012,,,Baltimore Park,Forge Road,,,,,,,Nottingham ,,,60.0,0,0,0,8,8.0,,0,,"baltimore park and forge road, nottingham township, Pennsylvania"
43,44,2919.0,J,Avondale 4220,11/21/2012,,,Baltimore Park,Shadyside Road,,,,,,,Nottingham ,,,100.0,0,2,3,0,5.0,,2,,"baltimore park and shadyside road, nottingham township, Pennsylvania"
47,48,2923.0,J,Embreeville 4230,4/1/2011,1800 block of Strassburg Road,1800,Straussburg Road,,,,,,,,West Bradford ,,Chester ,105.0,0,1,0,0,10.0,,1,,"1800 straussburg road, chester county, Pennsylvania"
48,49,2924.0,J,Embreeville 4230,5/27/2011,,,Marshalton-Thorndale Road,Campus Drive,,,,,,,West Bradford ,,,109.0,0,0,0,0,5.0,,10,,"marshalton-thorndale road and campus drive, west bradford township, Pennsylvania"
52,53,2928.0,J,Embreeville 4230,9/23/2011,1800 block of Strasburg Road,1800,Straussburg Road,,,,,,,,West Bradford ,,Chester ,78.0,0,1,0,0,15.0,,1,,"1800 straussburg road, chester county, Pennsylvania"
53,54,2929.0,J,Embreeville 4230,10/28/2011,,,Marshalton-Thorndale Road,Poorhouse Road,,,,West Bradford Twp Building,,,,,,65.0,0,2,1,0,3.0,,6,,"marshalton-thorndale road and poorhouse road, Pennsylvania"
54,55,2930.0,J,Embreeville 4230,5/29/2012,,,Marshalton Thorndale Road,Poorhouse Road,south of,,,,,,West Bradford ,,,128.0,0,0,0,0,20.0,,8,,"marshalton thorndale road and poorhouse road, west bradford township, Pennsylvania"
55,56,2931.0,J,Embreeville 4230,6/25/2012,,,Marshalton Thorndale Road,Poorhouse Road,south of,,,,,,West Bradford ,,,135.0,0,0,0,0,25.0,,3,,"marshalton thorndale road and poorhouse road, west bradford township, Pennsylvania"
58,59,2934.0,J,Embreeville 4230,9/28/2012,,,Marshalton Thorndale Road,Poorhouse Road,south of,,,,,,West Bradford ,,,104.0,1,4,4,2,19.0,,3,,"marshalton thorndale road and poorhouse road, west bradford township, Pennsylvania"
59,60,2935.0,J,Embreeville 4230,10/5/2012,,,Marshalton Thorndale Road,Poorhouse Road,south of,,,,,,West Bradford ,,,94.0,0,2,5,2,23.0,23.0,3,,"marshalton thorndale road and poorhouse road, west bradford township, Pennsylvania"
60,61,2936.0,J,Embreeville 4230,11/23/2012,SR23W/O Rt 100 South Coventry Twp,,SR 23,Route 100,west of,,,,,,Coventry ,,,50.0,0,1,9,0,10.0,10.0,0,,"sr 23 and route 100, coventry township, Pennsylvania"
61,62,2937.0,J,Ephrata 4250,1/13/2011,SR 625 .5 mile North of Von Neida St,,SR 625,Von Neida Street,north,0.5,,,,,,,,60.0,0,1,0,6,7.0,,0,,"sr 625 and von neida street, Pennsylvania"
62,63,2938.0,J,Ephrata 4250,3/25/2011,Lauschtown Rd. 1/2 mileeastof SR 897 Brecknock Twp,,Lauschtown Road,SR 897,east,0.5,,,,,Brecknock ,,,58.0,0,1,3,2,6.0,,2,,"lauschtown road and sr 897, brecknock township, Pennsylvania"
63,64,2939.0,J,Ephrata 4250,4/18/2011,West Brubaker Valley Rd. at Lakeview Dr Elizabeth Twp,,West Brubaker Valley Road,Lakeview Drive,,,,,,,Elizabeth ,,,25.0,0,2,1,2,4.0,,0,,"west brubaker valley road and lakeview drive, elizabeth township, Pennsylvania"
64,65,2940.0,J,Ephrata 4250,5/9/2011,SR 897 1/2 mile north of highpoint Dr. Brecknock Twp.,,SR 897,Highpoint Drive,north,0.5,,,,,Brecknock ,,,45.0,0,1,4,9,8.0,,1,,"sr 897 and highpoint drive, brecknock township, Pennsylvania"
65,66,2941.0,J,Ephrata 4250,2/3/2012,1100 block of Reading Rd. (SR 625) Brecknock Twp.,1100,Reading Road,,,,,,,,Brecknock ,,,45.0,0,0,0,7,7.0,,0,,"1100 reading road, brecknock township, Pennsylvania"
67,68,2943.0,H,Harrisburg 2110,2/25/2011,"SR 6443 @ Firehouse Road, S Hanover Twp, Dauphin County (?)",,SR 6443,Firehouse Road,,,,,,,South Hanover ,,Dauphin ,50.0,1,1,0,0,10.0,,2,,"sr 6443 and firehouse road, dauphin county, Pennsylvania"
70,71,,H,Harrisburg 2110,12/30/2011,Jonestown Rd at Manada Gap Rd,,Jonestown Road,Manada Gap Road,,,,,,,,,,35.0,0,3,0,0,4.0,,0,,"jonestown road and manada gap road, Pennsylvania"
71,72,,H,Harrisburg 2110,11/30/2012,"Fox Run Rd. at Dallas Dr. East Hanover Twp., Dauphin Co",,Fox Run Road,Dallas Drive,,,,,,,East Hanover ,,Dauphin ,30.0,0,0,0,0,5.0,,4,,"fox run road and dallas drive, dauphin county, Pennsylvania"
73,74,,H,Harrisburg 2110,6/29/2012,"Toll House Rd just south of Colebrook Rd., Londonderry Twp",,Toll House Road,Colebook Road,,,,,,,Londonberry ,,,38.0,0,0,0,0,2.0,,0,,"toll house road and colebook road, londonberry township, Pennsylvania"
74,75,2950.0,H,Harrisburg 2110,7/30/2012,SR 39 between Jonestown Rd. and SR 22,,SR 39,,,,,,,,,,,48.0,0,1,2,0,6.0,,0,,"sr 39, Pennsylvania"
