IDX,IMG,TROOP,STATION,DATE,location_original,street_number,street_name,cross_street,relation,distance_offset,landmark,borough,township,Town,county,VEHICLES STOPPED,FAULTY EQUIPMENT,W/O DRIVERS LICENSE,W/O REG CARD,TRAFFIC VIOLATION,WARNING NOTICES,verbal warnings (where noted),CITATIONS,CITATIONS/SECTION,1115,1301,1301a,1311,1332,1334,1336,1371,1372,1501,1501a,1502,1504a,1505,1510,1511,1511a,1515,1543,1543a,1543b,1571,1572,1574,1575,1781,1786,3102,3111,3112,3309,3310,3311,3314,3321,3322,3323,3332,3334,3352,3361,3362,3525,3709,3714,3715,3718,3736,3746,3802,3809,4107,4301,4303,4307,4523,4524,4525,4533,4536,4581,4581A,4582,4701,4702,4703,4703a,4706,4729,4730,4882,4903,4905,4524.1,4925,4942,6308,6502,7101,7711,8306,NOTES,well_formed,std_address
1,2877.0,J,Lancaster 4210,2/17/2011,,,SR 272,South Little Britain Road,,,,,,,Lancaster County,28.0,0,1,0,1,0.0,2.0,3,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,"sr 272 and south little britain road, lancaster county, Pennsylvania"
2,2878.0,J,Lancaster 4210,3/18/2011,,,SR 272,South Little Britain Road,,,,,,,Lancaster County,23.0,0,1,2,0,0.0,11.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,True,"sr 272 and south little britain road, lancaster county, Pennsylvania"
3,2879.0,J,Lancaster 4210,4/11/2011,,,SR 272,South Little Britain Road,,,,,,,Lancaster County,20.0,0,1,3,0,0.0,6.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,"sr 272 and south little britain road, lancaster county, Pennsylvania"
5,2881.0,J,Lancaster 4210,6/22/2011,,,SR 272,South Little Britain Road,,,,,,,Lancaster County,32.0,0,1,2,0,0.0,5.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,"sr 272 and south little britain road, lancaster county, Pennsylvania"
6,2882.0,J,Lancaster 4210,7/8/2011,,,SR 372 ,Groff Ave,,,,,Quarryville Borough,,,28.0,0,3,1,0,3.0,5.0,4,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,True,"sr 372 and groff ave, quarryville borough township, Pennsylvania"
7,2883.0,J,Lancaster 4210,8/12/2011,,,Sr 272,South Little Britain Road,,,,,,,Lancaster County,70.0,0,1,1,6,8.0,,1,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,"sr 272 and south little britain road, lancaster county, Pennsylvania"
8,2884.0,J,Lancaster 4210,9/30/2011,,,SR373,N Groff Ave,,,,,Quarryville Borough,,,28.0,3,0,0,0,3.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,"sr373 and n groff ave, quarryville borough township, Pennsylvania"
12,2888.0,J,Lancaster 4210,1/6/2012,,,SR 772,Intercourse,just south of ,,,,?,,,48.0,0,0,0,0,19.0,,1,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,True,"sr 772 and intercourse, ? township, Pennsylvania"
13,2889.0,J,Lancaster 4210,1/28/2012,,,SR 372,Groffdale Road,,,,,Eden Township,,,47.0,0,2,0,1,1.0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,True,"sr 372 and groffdale road, eden township, Pennsylvania"
14,2890.0,J,Lancaster 4210,2/18/2012,,,SR 272,South Little Britain Road,,,,,,,Lancaster County,74.0,0,2,0,0,0.0,,3,,,,1.0,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,"sr 272 and south little britain road, lancaster county, Pennsylvania"
16,2892.0,J,Lancaster 4210,5/5/2012,,,,,,,,,East Drumore Township,,,17.0,0,0,0,0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,"east drumore township, Pennsylvania"
17,2893.0,J,Lancaster 4210,5/31/2012,,,SR 372,Groffdale Road,,,,,Eden Township,,,40.0,0,1,0,0,6.0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,"sr 372 and groffdale road, eden township, Pennsylvania"
20,2896.0,J,Lancaster 4210,8/25/2012,,,SR 272,South Little Britain Road,,,,,,,Lancaster County,72.0,0,1,6,0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""selected due to the site being a known problem area.""",True,"sr 272 and south little britain road, lancaster county, Pennsylvania"
21,2897.0,J,Lancaster 4210,9/20/2012,,840,Lancaster Pike,,,,,,East Drumore Township,,,19.0,0,2,2,0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,"840 lancaster pike, east drumore township, Pennsylvania"
23,2899.0,J,Lancaster 4210,11/24/2012,,,SR 272,South Little Britain Road,,,,,,,Lancaster County,34.0,0,0,5,0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,"sr 272 and south little britain road, lancaster county, Pennsylvania"
24,2900.0,J,Avondale 4220,2/17/2011,,,Baltimore Park,Lake Road,,,,,London Grove Township,,Chester County,85.0,0,0,0,0,0.0,20.0,11,,,1.0,,,,,,,,2.0,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,2.0,,,,,,,,,,,,True,"baltimore park and lake road, chester county, Pennsylvania"
25,2901.0,J,Avondale 4220,3/25/2011,,,baltimore Park,Thompson Road,,,,,East Garden Township,,,92.0,2,1,2,0,21.0,,4,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,True,"baltimore park and thompson road, east garden township, Pennsylvania"
26,2902.0,J,Avondale 4220,4/1/2011,,,baltimore park,Forge Road,,,,,Nottingham Township,,,35.0,2,1,2,0,4.0,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,"baltimore park and forge road, nottingham township, Pennsylvania"
27,2903.0,J,Avondale 4220,5/10/2011,,,State Road,Meadow Wood Lane,,,,,London Grove Township,,Chester County,60.0,8,8,6,0,12.0,,11,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,2,,,,,,,,,,,,,,,,True,"state road and meadow wood lane, chester county, Pennsylvania"
28,2904.0,J,Avondale 4220,5/28/2011,,,Baltimore Pike,Lake Road,,,,,London Grove Township,,Chester County,75.0,0,5,2,0,0.0,,9,,,1.0,,,,,,,,2.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,True,"baltimore pike and lake road, chester county, Pennsylvania"
29,2905.0,J,Avondale 4220,6/30/2011,,,SR 796 ,Colton Drive,,,,, Londonderry Township,,Chester County,35.0,0,3,0,5,5.0,,6,,,1.0,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,"sr 796 and colton drive, chester county, Pennsylvania"
30,2906.0,J,Avondale 4220,7/26/2011,,,Baltimore Park,Lake Road,,,,,London Grove Township,,Chester County,100.0,0,0,0,0,40.0,,8,,,,,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,True,"baltimore park and lake road, chester county, Pennsylvania"
31,2907.0,J,Avondale 4220,8/5/2011,,,SR 796 ,Colton Drive,,,,, Londonderry Township,,Chester County,50.0,6,3,6,2,25.0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,True,"sr 796 and colton drive, chester county, Pennsylvania"
32,2908.0,J,Avondale 4220,9/30/2011,,,Baltimore Park,Lake Road,,,,,London Grove Township,,Chester County,75.0,0,0,0,8,75.0,,8,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,True,"baltimore park and lake road, chester county, Pennsylvania"
33,2909.0,J,Avondale 4220,10/26/2011,,,State Road,Meadow Wood Lane,,,,,London Grove Township,,Chester County,60.0,0,2,11,0,10.0,,4,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,"state road and meadow wood lane, chester county, Pennsylvania"
34,2910.0,J,Avondale 4220,11/17/2011,,,SR 796 ,Colton Drive,,,,, Londonderry Township,,Chester County,100.0,2,3,2,8,34.0,,8,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,5.0,,,,,,,,,,,,,,,,,True,"sr 796 and colton drive, chester county, Pennsylvania"
35,2911.0,J,Avondale 4220,1/28/2012,,,baltimore park,Forge Road,,,,,Nottingham Township,,,55.0,0,2,2,0,4.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,"baltimore park and forge road, nottingham township, Pennsylvania"
36,2912.0,J,Avondale 4220,3/27/2012,,,Baltimore Park,Lake Road,,,,,London Grove Township,,Chester County,43.0,0,5,0,0,7.0,,5,,,,,,,,,,,,4,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,"baltimore park and lake road, chester county, Pennsylvania"
37,2913.0,J,Avondale 4220,4/30/2012,,,Baltimore Park,Lake Road,,,,,London Grove Township,,Chester County,51.0,0,2,0,0,5.0,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,"baltimore park and lake road, chester county, Pennsylvania"
